ds,yhat,yhat_lower,yhat_upper
2022-01-01,223.5854257366213,-510.49027354336357,978.1535639863355
2022-01-02,220.4187344265208,-491.2087817047326,937.0016451047301
2022-01-03,239.09313444220936,-442.18677244538236,950.6763249805829
2022-01-04,174.37625713752283,-564.1802414016862,883.6583756560914
2022-01-05,117.6022766407986,-595.2917382710128,830.1792367528558
2022-01-06,119.75633629704708,-592.6046973728462,827.9497090741125
2022-01-07,236.93365742907167,-506.09807211541903,932.8482701678511
2022-01-08,196.12793067166123,-580.1547261854404,917.8435426817726
2022-01-09,186.3097836048894,-509.6576026192996,875.5753190252482
2022-01-10,199.69407205837518,-451.2846498886212,947.7264016070377
2022-01-11,131.197848317992,-562.6735179388207,889.6283975231139
2022-01-12,72.26444107007725,-627.4280647985397,834.2502606566026
2022-01-13,73.94514159927354,-628.9069466464447,814.7978697495147
2022-01-14,192.35670595858923,-575.4319647609575,934.8121056824639
2022-01-15,154.46931115849546,-602.5408064155009,886.925334064803
2022-01-16,149.18576600362735,-606.3272269757836,871.6327930759253
2022-01-17,168.61069992649442,-570.07574419707,874.8512250439155
2022-01-18,107.51152882277677,-563.6120357927823,880.0807515026685
2022-01-19,57.14654986064315,-709.2664166825804,792.5981101162063
2022-01-20,68.35155057108284,-674.9079646839904,792.3136850415993
2022-01-21,197.00300936081663,-498.83265692029596,849.642208603014
2022-01-22,169.8123731358936,-540.9946378851461,925.4299011907866
2022-01-23,175.41204462040557,-496.9710265079261,888.4818667369375
2022-01-24,205.63162347076027,-510.20461673533,903.9663869792338
2022-01-25,154.96601450579732,-503.2070764272977,859.4630736841455
2022-01-26,114.41056782119658,-655.6872196879032,811.0396596888709
2022-01-27,134.55445227692357,-656.6107904180616,845.8173450711796
2022-01-28,271.0501639299993,-501.041730319645,1000.2705317009469
2022-01-29,250.41349230524878,-456.594528530908,995.4397941959642
2022-01-30,261.11443132461903,-404.22562470878177,1010.1902716094282
2022-01-31,294.85745399212686,-402.47861338124466,1035.7368067792963
2022-02-01,246.05266310753905,-487.3582168471034,976.9609237176846
2022-02-02,205.6529082071911,-535.2132271276776,882.6082335061753
2022-02-03,224.24802397511016,-492.94228938621336,892.3587738675449
2022-02-04,357.53407482399246,-338.34824833432236,1002.8001021222709
2022-02-05,332.1119413560062,-399.625187607194,1023.9195635343068
2022-02-06,336.5757775086847,-432.7683236593712,1029.1303205578267
2022-02-07,362.7898274205884,-307.09249893208573,1127.2492277420818
2022-02-08,305.35521015166387,-428.48314173232086,1032.1587841242847
2022-02-09,255.441881627012,-410.91099320155644,985.5905632786611
2022-02-10,263.8770682483225,-474.2098532538635,959.1984998015101
2022-02-11,386.6082128628736,-326.2240808384375,1103.6953647274
2022-02-12,350.4949338684094,-336.90426201076684,1051.4065982075174
2022-02-13,344.3907065627951,-346.5285121211408,1062.1719355168393
2022-02-14,360.4129289852119,-359.9551512565674,1094.3655330900356
2022-02-15,293.4031595175564,-446.876762923088,1063.5370306445739
2022-02-16,234.75290541863376,-496.8350133985793,934.0023372010692
2022-02-17,235.48641636042993,-449.14413351963384,896.0381082750757
2022-02-18,351.7186679394147,-360.6924183568245,1039.3738409111809
2022-02-19,310.44316475170535,-409.2349352913934,1027.524786201036
2022-02-20,300.6103716650008,-378.2511056098198,986.5547701164256
2022-02-21,314.3955208329199,-397.956997420684,1031.1316613005574
2022-02-22,246.6576331950797,-528.4860644420042,920.4442875319678
2022-02-23,188.76516060451695,-521.6984437228355,953.1131080822526
2022-02-24,191.67970108552169,-537.3853949865529,844.0221277312966
2022-02-25,311.41594277728933,-396.55835193394444,1001.5222011666535
2022-02-26,274.8324098396036,-425.37228003286253,995.0362591571925
2022-02-27,270.71373735234823,-422.054392959809,969.4676680185328
2022-02-28,291.04311815861445,-409.7428531134139,1018.917483365925
2022-03-01,230.46663562707528,-467.4560986566256,917.3829301188639
2022-03-02,180.12474694716266,-540.3010886233265,844.7995312939037
2022-03-03,190.74221486783654,-514.2725741703119,883.4258937849903
2022-03-04,318.0944799378146,-362.9404897542288,1010.1993360699587
2022-03-05,288.80487833294177,-404.70828007840856,1005.8080966935299
2022-03-06,291.43326385108406,-434.75396937553637,1004.6779719485003
2022-03-07,317.7545125984461,-398.44482324107935,1017.7558660561086
2022-03-08,262.22846820362577,-466.5015320107404,940.9753644927525
2022-03-09,215.83644824529787,-526.7058442294796,918.2841518661855
2022-03-10,229.17548172534714,-450.45127636934745,948.1250573404699
2022-03-11,357.9281605903227,-397.6443744487254,1103.2086117055153
2022-03-12,328.66242301886666,-427.2655195065352,1069.161256803763
2022-03-13,329.9217634762146,-401.13406268639136,982.46816865196
2022-03-14,353.50430971873556,-352.98136942059887,1055.8586357355327
2022-03-15,293.93231230594387,-456.69045647376583,1028.4131562646144
2022-03-16,242.28718120098645,-471.6779188354578,927.5020602880705
2022-03-17,249.30127885506784,-516.6450220304539,991.728005015435
2022-03-18,370.8244168061608,-358.1855470078499,1090.5140092650083
2022-03-19,333.61946022500376,-410.57180933804796,1089.4984300017404
