ds,yhat,yhat_lower,yhat_upper
2022-01-01,17.43126415373075,-451.277947164544,511.8469500480124
2022-01-02,4.066382665588932,-477.0750293887186,503.8116473744517
2022-01-03,26.718215582380147,-478.59089831129637,510.09349877731466
2022-01-05,-49.84167505070032,-537.9788204532916,455.2657459902172
2022-01-06,25.293600962051187,-418.9685053388214,522.746241419043
2022-01-07,21.563518233577334,-465.26372729382274,515.0142338070373
2022-01-08,1.937561656814573,-553.8377830579843,506.5914802317418
2022-01-09,-7.111840698401714,-485.4962604033427,492.0024315912607
2022-01-10,19.733324063289295,-513.9237311780482,519.3444929165672
2022-01-12,-49.10661202562468,-526.2172540488693,431.712471077134
2022-01-13,29.43879358357176,-477.307711418976,524.1561431738244
2022-01-14,28.7665317323383,-468.733233009033,559.4757867263378
2022-01-15,11.826917530170114,-468.868962300511,486.5684079711117
2022-01-16,5.089505170045733,-464.78784948808635,500.1338565802635
2022-01-17,33.88523377085531,-456.3208525688492,550.2277132387408
2022-01-18,12.357097007422276,-497.7558924809635,456.9996678370799
2022-01-19,-32.01386675290915,-515.8675949440973,479.26619027064345
2022-01-20,47.61486779533896,-453.7477290448286,548.9379399272659
2022-01-21,47.8462437851804,-436.15796970016874,568.0728506690563
2022-01-22,31.697712319608442,-457.6979286020827,542.9670499089071
2022-01-23,25.709193687158084,-471.0103471286529,551.8732841596615
2022-01-24,55.28217679970161,-427.029122258695,538.3609831836521
2022-01-25,34.62731487649123,-460.64005911548037,530.1537122687712
2022-01-26,-8.712584233606506,-510.1790995529711,493.34993275737924
2022-01-27,72.15805859790527,-425.840616527448,566.673071413657
2022-01-28,73.88396866120983,-418.3028433748015,558.1121083372682
2022-01-29,59.51090884382182,-424.1193234432648,516.8014006712913
2022-01-30,55.59187671211492,-442.8338431991957,550.9726986682214
2022-01-31,87.5249387830454,-421.79188606434997,558.5292206475656
2022-02-01,69.50010942669749,-404.9514684937488,585.1522637951365
2022-02-02,29.022205615285934,-439.6441099822254,513.7668073726616
2022-02-03,112.93192425567581,-376.4145130641268,603.950814178597
2022-02-04,117.80327069418645,-357.2927060508951,619.7582336692853
2022-02-05,106.59707493437708,-407.1944738715662,589.9809326781153
2022-02-06,105.76934492194576,-380.64526736630285,601.7702782517532
2022-02-07,140.61173174977566,-361.16642077398444,648.5529225921416
2022-02-08,125.20144215767684,-377.8135815350104,638.0145244644774
2022-02-09,86.92744401758803,-395.9741518427449,617.1751714158066
