ds,yhat,yhat_lower,yhat_upper
2022-01-01,327.84129627816554,-594.096357470945,1250.7652494228341
2022-01-02,276.8051414555979,-721.334276344899,1147.2251616424298
2022-01-03,263.9613100871916,-662.8297518461833,1128.8955513322576
2022-01-04,262.6492583148943,-692.719131247371,1178.6152812597227
2022-01-05,308.667265521897,-594.1762483946679,1197.8886954916125
2022-01-06,285.8969676793744,-639.0560779894885,1213.7174390776395
2022-01-07,324.19081994610906,-610.5865827081341,1265.510149660249
2022-01-08,306.3228356168971,-583.4978954071503,1273.6001768120316
2022-01-09,249.88967385771986,-625.7507658297287,1160.886267956851
2022-01-10,231.38430851713608,-683.6176122763364,1135.6772648648446
2022-01-11,224.26646236694344,-712.5891016615572,1108.3153594137154
2022-01-12,264.47036692912474,-687.7689932460248,1157.8117734605546
2022-01-13,236.02575473891562,-605.609095943778,1197.2926823479033
2022-01-14,268.9413114869918,-688.6066575147446,1182.2382440015278
2022-01-15,246.15104749613005,-642.9490510168816,1237.1483678443662
2022-01-16,185.4107849151364,-758.6248860397111,1092.1191205481225
2022-01-17,163.36712489244965,-744.8612198043775,1086.4665409023096
2022-01-18,153.62321524008067,-756.7675670659754,1045.0631974095884
2022-01-19,192.24201515260404,-702.1989923019804,1105.7141559740917
2022-01-20,163.36309651113112,-744.9964824433794,1139.8360496064054
2022-01-21,197.08233429242327,-710.4892566861387,1092.237063199904
2022-01-22,176.39505936335658,-729.6024757440263,1091.5877419797666
2022-01-23,119.08996926523751,-804.980909477504,1086.357098854302
2022-01-24,101.81624294608274,-809.5075555558033,995.6321728700733
2022-01-25,98.14824170251084,-807.0398150345653,1010.7181227314779
2022-01-26,144.08853284511565,-814.682019746264,984.9788740168011
2022-01-27,123.68529252947286,-820.6457629937332,1053.0473658195174
2022-01-28,166.9134336028517,-681.3293715889598,1047.2946819209064
2022-01-29,156.62000158349258,-772.5677082396228,1067.157886471969
2022-01-30,110.421081522017,-836.3576522057589,1051.0880950956287
2022-01-31,104.77258758076374,-787.0534036459467,1033.6683228597126
2022-02-01,113.03922426876316,-811.5053377500128,1015.0997500363135
2022-02-02,171.00224588372802,-748.4330026109733,1067.429261420144
2022-02-03,162.48194711591063,-708.4270734060676,1171.6499659229253
2022-02-04,217.22409706866665,-623.9881803195755,1154.5377897475137
2022-02-05,217.85071988045996,-693.2161940818484,1165.1066706548777
2022-02-06,181.7623223272246,-726.8751180029278,1099.704438519405
2022-02-07,185.21379944173046,-749.5520167915831,1060.8824164210164
2022-02-08,201.38817176230447,-677.5622348383844,1091.6047662723702
2022-02-09,265.9086547164728,-649.5479497484204,1206.0751142418162
2022-02-10,262.4648798054661,-644.1914631858597,1167.7616740237493
2022-02-11,320.70238241827724,-610.6886209050482,1222.8393990415586
2022-02-12,323.1756808177836,-648.1042600413483,1218.7032510807005
2022-02-13,287.25198820462947,-634.6457401856309,1168.83027734616
