ds,yhat,yhat_lower,yhat_upper
2022-01-01,144.02771576735154,-756.0344638948611,1055.6620879803072
2022-01-02,192.0028920522536,-716.7763864502209,1074.243991972329
2022-01-03,101.99327441389563,-803.3034928838964,1090.7135367600038
2022-01-04,38.32778580836168,-866.4545814496653,1020.339937458469
2022-01-05,63.92818929618011,-898.6777297357672,986.5240964812571
2022-01-06,69.93154090687707,-830.6652406004891,992.9091882342508
2022-01-07,80.2541736719451,-869.1719092745636,922.960998139784
2022-01-08,140.3859443176415,-815.7206650926905,1025.4837341896864
2022-01-09,197.12648604197167,-737.0943679891207,1183.5904059006377
2022-01-10,116.48769723163565,-805.7487068363098,986.4760918682986
2022-01-11,62.58338111731601,-926.4750357605835,1014.4358525331585
2022-01-12,98.10479342551372,-835.2617476976984,1016.2435169113467
2022-01-13,113.94852347931746,-843.8263478241248,1009.4419359451498
2022-01-14,133.78625894375367,-801.3044156668165,1027.4232680524135
2022-01-15,202.86502281511363,-757.1575968699918,1143.8814963704324
2022-01-16,267.749475477557,-603.260689567652,1263.7340814807292
2022-01-17,194.23035731751173,-826.0025482606146,1071.1472566621585
2022-01-18,146.21983285131466,-759.2263843827801,1040.5397316041524
2022-01-19,186.23234385413554,-707.0144522136196,1093.9838872636951
2022-01-20,205.0172559030226,-708.7486217953586,1158.2418820409532
2022-01-21,226.13271989170596,-733.0294136998879,1174.3549500980757
2022-01-22,294.7492244808507,-623.8487526898474,1231.5049105122107
2022-01-23,357.39433882895923,-578.2488866972487,1338.5972426409596
2022-01-24,279.8626494851907,-645.6019090738139,1214.5348656024375
2022-01-25,226.1116047567815,-754.1652580061224,1069.763533307331
2022-01-26,258.74185187192376,-748.2451217847613,1160.7136326072346
2022-01-27,268.628355413064,-693.4752348130842,1147.557446567495
2022-01-28,279.4917490248351,-679.8667610955091,1152.9563085237826
2022-01-29,336.6984525012283,-608.850050992837,1260.0586671846045
2022-01-30,387.00113414801456,-550.2461578869153,1351.3584468097633
2022-01-31,296.4436252353966,-603.5079191106262,1238.0948750364598
2022-02-01,229.25112255828964,-634.6575723713797,1120.0310035610823
2022-02-02,248.30440371568494,-703.3982534287667,1186.7008746912923
2022-02-03,244.764495834599,-657.7550132774551,1161.0446496071515
2022-02-04,242.6374109252612,-654.1084294303836,1167.1364436828285
2022-02-05,287.567645837526,-573.5436247385353,1182.817923563327
2022-02-06,326.57219284440157,-674.7957041568928,1190.1862891885803
2022-02-07,225.93932964553406,-678.9350227125987,1091.5410083404042
2022-02-08,150.1131782983522,-757.5556978449238,1120.1294474097876
2022-02-09,162.16289861312248,-742.9798557209076,1049.4291363079087
2022-02-10,153.40308132278417,-778.774634400687,1094.3108538411705
2022-02-11,147.95505921921438,-835.2335587028556,1045.9103429279025
2022-02-12,191.5379163985035,-765.5347020105718,1112.4614325320929
2022-02-13,231.20100024681383,-663.8753653355658,1153.0353394768276
2022-02-14,133.22223612452066,-774.0072935935606,1047.074812517362
2022-02-15,61.99323959744038,-864.463347633747,1049.0072142904226
2022-02-16,80.49006980383982,-851.3577440174075,1026.6305757311213
2022-02-17,79.89614121843914,-848.8057285320992,994.4980458947756
2022-02-18,84.16693913683056,-893.1955220486215,997.3932110300578
2022-02-19,138.82522392165828,-801.1996951070803,1045.9989785907783
2022-02-20,190.69841259384646,-702.1458784036906,1171.1554091491878
2022-02-21,105.82230638056186,-797.4691839018852,1028.2744298934115
2022-02-22,48.33201374356898,-791.7641356432233,973.2045105065014
2022-02-23,80.93875865363663,-918.7643327349615,971.374110195166
2022-02-24,94.55893285502604,-853.1586321711593,1006.3429574527446
2022-02-25,112.88487866860356,-749.3738814165234,1032.3701004464285
2022-02-26,181.18593271333856,-808.5772606984674,1098.838822763837
2022-02-27,246.0512727923167,-627.1634687154875,1166.6114535631473
2022-02-28,173.29860248760258,-726.7011495031916,1042.5262607264822
2022-03-01,126.86940479077963,-828.4674054958925,1071.956394857378
2022-03-02,169.30935527515433,-789.8238832469763,1102.599396139897
2022-03-03,191.4001758111982,-779.8931188728106,1170.0227836035017
2022-03-04,216.73236102709228,-751.2679037656955,1094.6614498347794
2022-03-05,290.5072781837403,-660.8385901128097,1192.4803506618548
2022-03-06,359.28017814176786,-512.7055807684468,1284.029885173012
2022-03-07,288.8681723196592,-598.9385062590188,1150.3940270573655
2022-03-08,243.24395131511778,-634.503294831148,1170.6070087933672
2022-03-09,285.0139024149576,-620.0097584531934,1239.0164697551822
2022-03-10,305.0469938370191,-693.916541151713,1145.4238239179049
2022-03-11,327.0439620442443,-597.0271766283222,1233.5000073704514
2022-03-12,396.3354209594618,-528.8945799759664,1310.6017827060996
2022-03-13,459.6205592400051,-479.9447225368712,1372.728904668269
2022-03-14,382.87061539416277,-525.0884085715055,1298.3385731263518
2022-03-15,330.21804358523525,-583.545310585612,1285.9528593279756
2022-03-16,364.43016271442553,-509.4134481238909,1278.0052347231335
2022-03-17,376.5337861208346,-513.3374926500817,1349.325033687811
2022-03-18,390.3804880999479,-643.895141668725,1302.8707509487053
2022-03-19,451.4412327642105,-501.4773788473439,1345.30004485284
2022-03-20,506.5421219101063,-415.33428560253355,1437.78424347293
2022-03-21,421.76552344047053,-499.671984093637,1350.118522665879
2022-03-22,361.33754427621324,-529.6846008429321,1289.4337001510348
2022-03-23,388.1006694407789,-545.1683829820956,1319.1780679819728
2022-03-24,393.138071335111,-512.8828108806612,1379.764711939268
2022-03-25,400.3392291979743,-511.6873597121293,1319.591830942985
2022-03-26,455.1955469196352,-477.0308388518874,1344.0865614060156
2022-03-27,504.537667889939,-384.96063559392024,1403.5007406713466
2022-03-28,414.43867246129287,-554.1196881683492,1311.7693936597402
2022-03-29,349.10403047545634,-503.5080430557421,1275.2052724911498
2022-03-30,371.34702668250253,-549.977590731287,1224.5599587456477
2022-03-31,372.21605017814954,-610.8050833944789,1234.7542456662686
2022-04-01,375.5632702302899,-582.7400247122956,1320.794502726793
2022-04-02,426.8432672994934,-435.00102730074417,1358.5454802397062
2022-04-03,472.8532017016422,-392.73170856595243,1439.0036010470458
2022-04-04,379.63859569671797,-443.7696822980032,1257.7285277705255
2022-04-05,311.38550190874633,-606.8649788584003,1262.8346562621743
2022-04-06,330.8976899085609,-503.5587839586172,1255.2296074949002
2022-04-07,329.22517252358926,-521.9067927423516,1229.6590760774827
2022-04-08,330.2335434683717,-662.3659214808488,1297.4230293639189
2022-04-09,379.40266488857264,-515.5908871695025,1310.052472546187
2022-04-10,423.56627871872547,-597.0680311730713,1332.3400174196156
2022-04-11,328.8166311734996,-625.0641671536412,1205.317051103375
2022-04-12,259.39491860581217,-752.3914589908751,1156.3012931204119
2022-04-13,278.16624268066255,-639.1430766968084,1167.8704990704887
2022-04-14,276.24547167020717,-679.0417678642077,1161.44264321047
